pltID,LAT,LON
5_39_89_3572,40.141283,-82.459453
0_42_61_4762,40.419588,-78.094317
5_42_3_6034,40.512811,-80.070226
5_42_7_4271,40.632857,-80.159436
8_42_79_3459,41.251299,-75.829763
9_42_133_4434,40.105848,-76.735673
9_42_71_5901,39.97352,-76.108383
2_54_93_6194,39.126345,-79.690501
3_54_109_814,37.764224,-81.596101
3_54_45_242,37.726438,-81.942451
3_54_5_1617,37.991941,-81.483491
3_54_5_371,38.072113,-81.92815
3_54_5_421,38.088926,-81.563322
3_54_5_634,38.002492,-81.798759
4_54_29_1456,40.515472,-80.562198
4_54_85_472,39.055904,-81.135501
4_54_99_274,38.162396,-82.535334
1_1_3_8,30.526303,-87.599603
1_1_97_10,31.084263,-88.050477
3_1_85_53,32.157469,-86.730346
5_1_117_80,33.24442,-86.652454
1_21_131_14,37.079265,-83.324639
1_21_133_32,37.239084,-82.639834
1_21_195_45,37.616988,-82.306095
1_21_195_67,37.472797,-82.391156
2_21_115_7,37.935374,-82.959607
2_21_127_10,38.007642,-82.769617
3_21_13_21,36.646963,-83.798072
6_21_171_3,36.62642,-85.828793
1_22_29_72,31.671158,-91.548805
1_22_41_18,32.055287,-91.658349
1_22_67_30,32.801471,-92.010705
2_22_101_46,29.883853,-91.409944
2_22_109_221,29.372544,-90.794511
2_22_113_119,29.651535,-92.250021
2_22_125_8,30.748265,-91.304147
2_22_1_19,30.365633,-92.564347
2_22_1_20,30.450618,-92.362267
2_22_1_32,30.102886,-92.465655
2_22_1_43,30.275523,-92.262953
2_22_1_69,30.318724,-92.513228
2_22_1_8,30.357168,-92.51802
2_22_45_49,30.008913,-91.510858
2_22_45_92,30.0076,-91.61099
2_22_57_10,29.713842,-90.759143
2_22_7_20,29.681409,-91.04676
2_22_97_102,30.490944,-92.466465
2_22_97_105,30.662104,-92.113356
2_22_97_34,30.408078,-92.109482
2_22_97_94,30.837865,-92.074309
2_22_99_33,30.231975,-91.911419
2_22_9_9,31.098195,-92.210335
2_22_9_92,30.93128,-91.909047
3_22_115_150,31.318356,-92.926627
3_22_115_62,31.147089,-93.32913
3_22_115_63,31.321333,-92.978786
3_22_11_10,30.620244,-93.016958
3_22_11_107,30.795694,-93.373058
3_22_11_120,30.84051,-93.080607
3_22_11_17,30.818298,-93.418403
3_22_11_27,30.404583,-93.37585
3_22_11_57,30.540907,-93.220426
3_22_11_6,30.753002,-93.432646
3_22_11_74,30.800625,-93.581734
3_22_11_80,30.511714,-93.147829
3_22_19_114,30.238202,-93.667022
3_22_19_14,30.365764,-93.115864
3_22_19_29,30.234915,-93.702366
3_22_19_49,30.323475,-93.524418
3_22_19_69,30.363823,-93.270747
3_22_19_70,30.283073,-93.415957
3_22_19_71,30.276463,-93.109168
3_22_19_74,30.273194,-93.062772
3_22_39_32,30.488701,-92.517798
3_22_39_33,30.621729,-92.21155
3_22_39_37,30.865222,-92.587306
3_22_39_48,30.711886,-92.515542
3_22_3_39,30.582788,-92.875663
3_22_3_57,30.454447,-93.026414
3_22_3_67,30.838319,-92.768106
3_22_3_84,30.698089,-92.664284
3_22_53_17,30.40969,-92.819221
3_22_53_18,30.359802,-93.014989
3_22_85_37,31.583626,-93.481727
4_22_103_60,30.316815,-89.753744
4_22_103_67,30.488958,-89.949987
4_22_105_27,30.64353,-90.413145
4_22_105_33,30.757163,-90.449131
4_22_105_37,30.493837,-90.551415
4_22_105_45,30.576436,-90.500938
4_22_105_89,30.49553,-90.51026
4_22_117_14,30.92812,-90.297996
4_22_117_47,30.90495,-90.219295
4_22_117_68,30.754142,-90.250597
4_22_33_18,30.714807,-90.894563
4_22_33_38,30.362103,-91.209998
4_22_33_50,30.710825,-90.865094
4_22_37_23,30.800203,-91.006205
4_22_37_8,30.975352,-90.851091
4_22_63_1,30.494736,-90.804226
4_22_63_15,30.582664,-90.806633
4_22_63_18,30.498847,-90.657341
4_22_63_21,30.278873,-90.761217
4_22_63_32,30.316962,-90.761595
4_22_63_43,30.40255,-90.708393
4_22_63_57,30.445606,-90.756035
4_22_91_14,30.710467,-90.752036
4_22_91_17,30.671544,-90.653641
5_22_111_59,32.893073,-92.114701
5_22_15_13,32.586677,-93.65652
5_22_31_66,32.016225,-93.906008
5_22_61_2,32.67221,-92.688397
5_22_61_34,32.532571,-92.47731
5_22_81_9,32.099389,-93.241213
4_28_73_24,31.118052,-89.388858
5_28_85_40,31.374368,-90.56389
3_37_159_22,35.616737,-80.693421
3_37_197_29,36.24158,-80.750855
3_37_97_106,35.857498,-80.774992
3_37_97_26,36.046132,-80.960292
1_47_131_53,36.268478,-89.371943
2_47_71_68,35.384076,-88.105661
3_47_103_77,35.208376,-86.81676
3_47_111_1,36.626224,-86.137553
3_47_111_37,36.572251,-86.165814
3_47_15_32,35.866367,-86.120844
3_47_41_29,36.075655,-85.792266
3_47_55_71,35.128534,-86.85078
3_47_87_1,36.370602,-85.814325
4_47_141_47,36.172278,-85.68289
4_47_177_1,35.665506,-85.920804
4_47_177_36,35.685432,-85.643871
4_47_185_16,35.996465,-85.315997
5_47_29_73,35.890811,-83.012965
5_47_59_80,36.31219,-82.690105
1_48_199_6,30.415687,-94.192579
1_48_199_71,30.508195,-94.189083
1_48_199_96,30.269324,-94.114749
1_48_201_151,29.951097,-95.118656
1_48_201_157,29.932009,-95.004845
1_48_201_186,29.813347,-95.604846
1_48_201_25,29.71716,-94.953779
1_48_201_88,29.988655,-95.304638
1_48_201_97,29.936051,-95.696081
1_48_241_100,30.552516,-93.920403
1_48_241_30,30.282449,-93.976559
1_48_241_32,30.322276,-93.920589
1_48_241_33,30.50563,-94.027231
1_48_241_61,30.613687,-93.892843
1_48_241_89,30.364647,-94.082142
1_48_241_99,30.324421,-93.970636
1_48_245_1,29.885412,-94.039674
1_48_245_73,30.106067,-94.289329
1_48_245_74,29.932489,-94.344911
1_48_245_87,30.023959,-94.139027
1_48_289_89,31.324253,-95.70531
1_48_291_101,29.893815,-94.746889
1_48_291_106,30.114715,-94.853755
1_48_291_111,30.15157,-94.816277
1_48_291_120,29.893109,-94.603417
1_48_291_69,30.068887,-94.605879
1_48_291_74,30.338459,-94.945765
1_48_313_1,30.909005,-96.186874
1_48_351_5,30.768018,-93.711834
1_48_361_1,30.064647,-93.887815
1_48_361_25,30.24069,-93.988677
1_48_361_41,30.147907,-93.987701
1_48_361_8,30.193541,-93.994621
1_48_407_69,30.502085,-95.040064
1_48_457_70,30.901364,-94.226027
1_48_457_90,30.585853,-94.182918
1_48_473_15,30.154566,-95.804223
1_48_5_10,31.194763,-94.327291
1_48_5_5,31.215215,-94.854626
1_48_71_21,29.852503,-94.648168
1_48_71_23,29.745077,-94.904588
1_48_71_68,29.78896,-94.9106
1_48_71_7,29.665196,-94.914514
2_48_315_26,32.768663,-94.481147000000007
2_48_347_13,31.499768,-94.359201
2_48_347_7,31.717123,-94.623927
2_48_365_39,31.985076,-94.100952
2_48_365_45,32.120068,-94.503167
2_48_365_85,31.994074,-94.406937
2_48_419_27,31.672029,-94.21366
2_48_73_21,31.682729,-95.027087
2_48_73_56,32.03017,-95.233574
3_48_231_2,33.274176,-96.078062
3_48_285_14,29.284209,-96.847714
4_48_167_12,29.352074000000002,-95.042122
4_48_321_13,28.977014,-95.797289
4_48_39_99,28.897336,-95.561329
1_9_1_154,41.158096,-73.123865
1_18_101_20074,38.662749,-86.890301
2_18_19_20086,38.42937,-85.626834
2_18_37_20028,38.384362,-86.741122
3_18_47_20062,39.396151,-84.847557
4_18_91_20058,41.668723,-86.799499
2_24_21_310,39.555544,-77.515
2_24_31_1403,39.186704,-77.353164
2_24_43_1715,39.463189,-77.769608
8_36_71_1361,41.370835,-74.344795
1_39_131_1634,39.090623,-82.926774
1_39_131_4042,39.050944,-83.309699
1_39_79_1895,38.925197,-82.651739
1_39_79_3519,39.066299,-82.755213
1_39_87_1922,38.511121,-82.401019
2_39_115_3461,39.749855,-81.762163
2_39_127_5836,39.775218,-82.121547
2_39_167_3299,39.497249,-81.439925
2_39_167_4187,39.421496,-81.473459
2_39_9_2650,39.307841,-81.84486
3_39_111_4605,39.792332,-80.905217
3_39_119_1553,40.154791,-82.054619
3_39_119_1793,40.134168,-81.775691
3_39_67_3590,40.257784,-81.065769
3_39_67_4744,40.314907,-81.201114
0_42_55_4874,39.952112,-77.791333
0_42_99_5240,40.30395,-77.606982
5_42_129_4986,40.544662,-79.721494
7_42_51_4968,39.982315,-79.828695
8_42_103_3713,41.363448,-74.713194
8_42_93_5112,40.965571,-76.551853
9_42_11_5441,40.30177,-75.886432
9_42_133_4260,40.172573,-76.864792
9_42_133_4555,40.112186,-76.912325
2_54_37_213,39.341667,-77.81514
2_54_57_1243,39.359102,-78.828182
2_54_65_623,39.684274,-78.187092
3_54_109_328,37.632354,-81.621663
3_54_39_2173,38.110591,-81.399909
3_54_45_1487,37.875259,-81.997589
3_54_47_1032,37.455144,-81.737848
3_54_55_961,37.471847,-81.278094
3_54_5_117,37.792289,-81.554477
3_54_89_714,37.584427,-80.934745
4_54_73_630,39.450337,-81.089785
1_1_3_11,31.107329,-87.835514
1_1_3_141,30.498644,-87.904506
1_1_53_107,31.048285,-87.122925
1_1_53_56,31.162546,-87.107126
2_1_131_40,32.112218,-87.344864
2_1_131_59,31.857038,-87.551923
2_1_25_140,31.568373,-87.670874
2_1_25_82,31.764932,-87.748164
2_1_25_99,31.64749,-87.80234
2_1_35_62,31.324633,-87.347925
3_1_1_26,32.382609,-86.681489
3_1_1_8,32.426616,-86.639837
3_1_31_30,31.574876,-85.918276
3_1_41_24,31.918121,-86.387349
3_1_47_116,32.30065,-86.839123
3_1_47_28,32.424174,-86.968396
3_1_61_40,31.16258,-85.754181
3_1_85_48,32.327787,-86.528274
4_1_125_65,33.115198,-87.604112
4_1_63_24,32.59372,-87.762942
4_1_63_4,32.65001,-87.886288
5_1_121_9,33.492955,-85.985786
2_12_33_101,30.379593,-87.370881
2_12_33_6,30.772782,-87.369939
2_12_39_30,30.591684,-84.394475
3_12_105_95,28.028543,-81.648773
1_21_195_66,37.527923,-82.016176
1_21_95_28,36.796999,-83.4229
1_21_95_41,36.807829,-83.265521
2_21_19_18,38.266435,-82.782983
3_21_13_16,36.73209,-83.605639
3_21_13_5,36.888543,-83.548806
4_21_151_23,37.615142,-84.142656
4_21_187_17,38.583184,-85.033857
5_21_163_28,38.162116,-86.318701
5_21_1_30,37.107474,-85.178132
5_21_231_37,36.722662,-85.010597
6_21_31_30,37.159496,-86.705145
6_21_31_8,37.231272,-86.686165
6_21_3_16,36.856504,-86.217319
7_21_75_6,36.511206,-89.255257
1_22_83_44,32.458413,-91.503099
2_22_101_83,29.80017,-91.660246
2_22_101_98,29.620081,-91.420674
2_22_45_67,29.923399,-91.915522
2_22_47_68,30.363357,-91.3567
2_22_51_41,29.73234,-90.137257
2_22_57_143,29.733314,-90.703039
2_22_57_156,29.666643,-90.322417
2_22_77_39,30.70798,-91.706882
2_22_7_28,29.926919,-90.918176
2_22_7_29,29.878725,-91.060783
2_22_89_41,29.973539,-90.472964
2_22_95_34,30.103032,-90.465614
2_22_97_83,30.499003,-92.312524
2_22_99_67,30.181755,-91.657115
2_22_9_93,31.231149,-91.958755
3_22_11_76,30.581608,-93.674173
3_22_19_102,30.374253,-93.740209
3_22_19_103,30.101888,-93.264462
3_22_19_109,30.362878,-93.568893
3_22_19_94,30.140594,-93.672533
3_22_39_53,30.626067,-92.562982
3_22_39_60,30.6623,-92.511827
3_22_39_61,30.498761,-92.621198
3_22_39_66,30.735152,-92.388716
3_22_39_68,30.799274,-92.513661
3_22_53_67,30.405997,-92.622882
3_22_79_144,30.975953,-92.715155
4_22_103_125,30.361571,-89.951023
4_22_103_89,30.319726,-89.708055
4_22_105_58,30.674192,-90.296505
4_22_105_65,30.714508,-90.547593
4_22_105_68,30.881714,-90.345604
4_22_105_69,30.489324,-90.356251
4_22_105_80,30.792987,-90.545121
4_22_105_81,30.535766,-90.305286
4_22_117_62,30.711528,-89.843808
4_22_117_75,30.7535,-90.000653
4_22_37_35,30.890214,-90.901168
4_22_63_53,30.586414,-90.701678
4_22_63_56,30.491003,-90.749884
4_22_63_61,30.626777,-90.858947
4_22_63_65,30.445016,-90.906165
4_22_91_19,30.795884,-90.757542
4_22_91_25,30.976467,-90.750792
4_22_91_3,30.97285,-90.700115
4_22_91_34,30.794807,-90.704298
5_22_15_64,32.578814,-93.455035
5_22_27_12,32.79763,-93.055334
1_28_51_63,33.34788,-90.24467
2_28_15_53,33.646406,-89.914715
3_28_121_10,32.359109,-89.96857
3_28_121_23,32.312724,-90.03231
3_28_127_47,31.795302,-89.850927
3_28_127_55,31.882963,-89.703925
4_28_109_47,30.551862,-89.685083
4_28_153_17,31.767044,-88.595268
4_28_35_29,31.390392,-89.298639
5_28_157_31,31.066242,-91.363306
5_28_49_77,32.317702,-90.273
5_28_85_11,31.637339,-90.465487
5_28_89_82,32.815932,-90.006006
1_37_101_120,35.484926,-78.389783
1_37_105_8,35.477791,-79.061902
1_37_133_25,34.932917,-77.594866
1_37_163_47,35.109688,-78.428232
3_37_149_9,35.220226,-82.281318
3_37_167_4,35.245704,-80.40009
3_37_169_50,36.48008,-80.275471
3_37_171_94,36.396526,-80.818811
4_37_193_72,36.089354,-81.128411
4_37_193_80,36.256063,-81.198253
4_37_23_32,35.609101,-81.809474
4_37_27_30,35.945494,-81.50564
2_45_85_90,33.965158,-80.546814
3_45_81_36,34.039164,-81.876929
1_47_131_62,36.34895,-89.329835
1_47_167_13,35.471898,-89.526002
1_47_79_69,36.483784,-88.342097
2_47_161_59,36.570085,-87.88604
2_47_71_79,35.013645,-88.105748
3_47_103_25,35.207616,-86.777107
3_47_103_72,35.202759,-86.504465
3_47_189_62,36.003348,-86.066399
3_47_37_63,36.306332,-86.868036
3_47_41_1,36.015252,-85.750797
3_47_41_34,36.078224,-85.741003
3_47_41_35,35.950267,-85.798369
3_47_41_38,35.99266,-85.891523
3_47_55_75,35.209282,-86.976677
3_47_55_80,35.041333,-87.195013
3_47_55_84,35.289524,-87.103682
3_47_87_37,36.350232,-85.630511
4_47_175_35,35.554915,-85.472166
4_47_35_88,35.864431,-85.200211
5_47_1_10,36.15764,-84.38966
5_47_25_17,36.563868,-83.453431
5_47_57_1,36.165889,-83.619061
5_47_89_6,36.019358,-83.553753
5_47_93_63,35.968036,-83.771065
1_48_199_20,30.286017,-94.139063
1_48_199_27,30.415218,-94.592957
1_48_199_39,30.197695,-94.191612
1_48_201_140,30.078585,-95.109818
1_48_201_178,29.800926,-95.711526
1_48_201_30,29.708186,-95.324557
1_48_201_31,30.073089,-95.660154
1_48_201_64,29.898242,-95.15424
1_48_201_90,30.02615,-95.098356
1_48_225_119,31.512623,-95.455295
1_48_241_107,30.251215,-93.951885
1_48_241_109,30.699493,-94.12078
1_48_241_18,30.550532,-94.026716
1_48_241_35,30.325902,-94.081627
1_48_241_49,30.386457,-94.054288
1_48_245_110,29.934303,-93.882438
1_48_245_53,30.163831,-94.140942
1_48_291_103,30.028588,-94.545959
1_48_291_105,30.025865,-94.695243
1_48_291_108,30.201099,-94.949646
1_48_291_114,30.163686,-94.649038
1_48_291_122,30.161718,-94.7997
1_48_291_123,30.067955,-94.692136
1_48_291_128,29.891344,-94.854221
1_48_291_16,30.382945,-95.054957
1_48_291_76,30.379472,-94.70122
1_48_291_78,30.290141,-95.048797
1_48_291_87,30.318119,-94.766534
1_48_339_10,30.193848,-95.254325
1_48_339_100,30.144252,-95.199702
1_48_339_103,30.233825,-95.55783
1_48_339_120,30.096389,-95.398478
1_48_339_34,30.147629,-95.648651
1_48_339_52,30.320475,-95.29915
1_48_351_112,30.541773,-93.863387
1_48_351_72,30.590294,-93.714936
1_48_361_16,30.232807,-94.09691
1_48_361_22,30.14995,-94.090788
1_48_361_27,30.111494,-93.848216
1_48_361_35,30.058071,-93.987514
1_48_361_5,30.242183,-93.805741
1_48_373_105,31.031506,-94.73832
1_48_407_28,30.545864,-94.992405
1_48_455_62,31.331644,-94.949936
1_48_455_63,30.889075,-95.341849
1_48_457_28,30.635944,-94.123265
1_48_457_7,30.848462,-94.226398
1_48_473_62,30.077916,-96.071295
1_48_5_20,31.152119,-94.678406
1_48_5_36,31.380414,-94.52817
1_48_5_4,31.17048,-94.826393
1_48_5_72,31.288546,-94.533291
2_48_347_50,31.542971,-94.873465
2_48_347_78,31.593675,-94.472134
2_48_347_88,31.829258,-94.534739
2_48_419_74,31.843157,-94.263164
2_48_73_19,31.708385,-94.999517
3_48_149_81,29.814468,-97.2613
4_48_39_130,28.952922,-95.375831
4_48_39_5,29.181516,-95.479219
1_9_1_335,41.186316,-73.420492
2_18_123_22030,38.218798,-86.579187
2_18_25_20005,38.144772,-86.455676
4_18_81_20086,39.611895,-86.013673
4_18_85_20155,41.312654,-85.654178
2_24_13_412,39.445659,-76.908717
2_24_3_1509,38.951612,-76.514789
2_24_43_821,39.656318,-77.741369
8_36_119_218,40.957683,-73.759951
8_36_27_3625,41.959597,-73.80046
8_36_85_1295,40.80934,-73.550303
1_39_131_2377,39.026239,-83.235872
1_39_53_1131,38.97411,-82.195785
1_39_71_3293,39.081209,-83.38608
1_39_87_4349,38.535658,-82.520356
2_39_115_3197,39.738175,-81.781398
2_39_167_1390,39.470655,-81.378618
2_39_9_2694,39.426222,-81.91534
3_39_111_5460,39.640207,-80.882191
3_39_121_3388,39.744243,-81.435788
3_39_31_1154,40.254476,-81.773408
3_39_59_4812,40.034845,-81.296706
3_39_81_3382,40.447231,-80.777316
3_39_81_5264,40.348569,-80.865096
5_39_61_4194,39.100535,-84.371097
0_42_55_1584,39.81926,-77.76009
5_42_125_5306,40.237236,-80.180179
5_42_125_922,40.15654,-80.33186
7_42_13_3521,40.518983,-78.181951
7_42_51_5140,40.037508,-79.634158
9_42_11_5003,40.444945,-75.97571
9_42_1_1854,39.95018,-77.25402
9_42_1_4895,39.789354,-77.392007
2_54_1_1093,38.972498,-79.997201
2_54_33_2308,39.331859,-80.274238
2_54_3_550,39.463367,-78.040842
2_54_7_1890,38.728149,-80.906038
3_54_15_1928,38.347148,-81.155667
3_54_19_1382,38.168233,-81.20327
3_54_39_456,38.271075,-81.279055
3_54_39_791,38.47753,-81.523866
3_54_45_1949,37.81519,-81.703047
3_54_5_1770,37.976187,-81.907266
3_54_5_187,38.11854,-81.94933
3_54_63_385,37.52006,-80.387213
3_54_67_2152,38.230945,-81.121932
3_54_81_1195,37.586295,-81.293656
4_54_103_2220,39.576228,-80.554147
4_54_43_1273,38.306581,-82.066395
4_54_43_368,38.213176,-82.129669
4_54_49_715,39.413135,-80.063852
4_54_73_960,39.353725,-81.255083
1_1_3_3,30.624574,-87.811685
1_1_53_83,31.060773,-87.518819
1_1_97_131,30.722844,-88.206364
1_1_97_38,30.545338,-88.260041
1_1_97_69,30.997222,-88.260592
2_1_119_3,32.599785,-87.903219000000007
2_1_99_43,31.582735,-87.359221
3_1_101_44,32.251952,-86.383056
3_1_47_62,32.381035,-86.92963
3_1_51_32,32.51261,-86.294585
3_1_87_22,32.254294,-85.82688
5_1_127_64,33.797558,-87.146917
6_1_71_72,34.9658,-86.21007
6_1_95_30,34.225397,-86.280786
3_5_133_52,34.009439,-94.246987
3_5_133_60,33.797695,-94.152022
5_5_101_83,36.084103,-93.092088
5_5_7_94,36.274958,-94.097946
5_5_87_88,35.798622,-93.644237
1_12_107_7,29.392547,-81.51973
1_12_23_19,29.941799,-82.629856
1_12_23_50,30.152625,-82.71219
1_12_89_9,30.700814,-81.911315
2_12_133_29,30.744111,-85.511025
3_12_117_21,28.761866,-81.338454
3_12_69_60,28.533509,-81.849866
3_12_95_30,28.590292,-81.259856
1_13_167_33,32.673369,-82.758822
1_13_175_55,32.232832,-82.985651
1_13_271_42,31.904725,-82.956338
1_13_279_27,32.028089,-82.419478
1_13_91_55,32.176581,-83.258523
2_13_277_30,31.445655,-83.561911
2_13_321_32,31.486518,-83.853516
2_13_71_79,31.197448,-83.781932
2_13_71_80,31.279339,-83.90582
3_13_163_11,33.002708,-82.361933
3_13_177_32,31.771218,-84.031118
3_13_177_43,31.660322,-84.284168
